country_name,iso3c,wb_income_group,wb_region,debt_gross_percent_of_gdp,nominal_gdp_bn_ppp,nominal_gdp_per_capita_ppp,population_mn
Aruba,ABW,High,Latin America & Caribbean,95.042,5.066,46308.66,0.109
Afghanistan,AFG,Low,South Asia,7.397,80.912,2456.29,32.941
Angola,AGO,Lower Middle,Sub-Saharan Africa,56.564,245.442,7455.47,32.921
Albania,ALB,Upper Middle,Europe & Central Asia,70.278,51.189,17858.42,2.866
Andorra,AND,High,Europe & Central Asia,43.05,5.301,65371.54,0.081
United Arab Emirates,ARE,High,Middle East & North Africa,30.741,814.733,77272.3,10.544
Argentina,ARG,Upper Middle,Latin America & Caribbean,76.015,1207.23,26073.8,46.3
Armenia,ARM,Upper Middle,Europe & Central Asia,52.346,49.767,16798,2.963
American Samoa,ASM,Upper Middle,East Asia & Pacific,NA,NA,NA,NA
Antigua & Barbuda,ATG,High,Latin America & Caribbean,91.242,2.224,22070.36,0.101
Australia,AUS,High,East Asia & Pacific,56.733,1615.29,62191.59,25.973
Austria,AUT,High,Europe & Central Asia,78.532,599.47,66680.12,8.99
Azerbaijan,AZE,Upper Middle,Europe & Central Asia,20.661,178.679,17448.2,10.241
Burundi,BDI,Low,Sub-Saharan Africa,66.372,10.898,865.04,12.598
Belgium,BEL,High,Europe & Central Asia,103.929,723.09,62065.14,11.651
Benin,BEN,Lower Middle,Sub-Saharan Africa,54.847,53.699,4182.9,12.838
Burkina Faso,BFA,Low,Sub-Saharan Africa,59.558,58.812,2655.6,22.147
Bangladesh,BGD,Lower Middle,South Asia,37.497,1345.65,7985.1,168.52
Bulgaria,BGR,Upper Middle,Europe & Central Asia,22.815,198.349,29177.96,6.798
Bahrain,BHR,High,Middle East & North Africa,119.496,87.905,57921.47,1.518
Bahamas,BHS,High,Latin America & Caribbean,90.658,15.661,39784.89,0.394
Bosnia & Herzegovina,BIH,Upper Middle,Europe & Central Asia,31.8,62.165,17899.1,3.473
Belarus,BLR,Upper Middle,Europe & Central Asia,34.982,201.967,21709.28,9.303
Belize,BLZ,Upper Middle,Latin America & Caribbean,76.304,4.224,9622.88,0.439
Bermuda,BMU,High,North America,NA,NA,NA,NA
Bolivia,BOL,Lower Middle,Latin America & Caribbean,82.578,118.802,9933.29,11.96
Brazil,BRA,Upper Middle,Latin America & Caribbean,88.191,3782.76,17683.84,213.911
Barbados,BRB,High,Latin America & Caribbean,117.88,5.01,17313.74,0.289
Brunei,BRN,High,East Asia & Pacific,1.866,31.904,74195.97,0.43
Bhutan,BTN,Lower Middle,South Asia,130.792,9.937,13077.4,0.76
Botswana,BWA,Upper Middle,Sub-Saharan Africa,21.255,47.046,19198.58,2.45
Central African Republic,CAF,Low,Sub-Saharan Africa,52.113,5.46,1088.29,5.017
Canada,CAN,High,North America,102.198,2240.39,57827.45,38.743
Switzerland,CHE,High,Europe & Central Asia,40.266,737.838,84468.91,8.735
Channel Islands,CHI,High,Europe & Central Asia,NA,NA,NA,NA
Chile,CHL,High,Latin America & Caribbean,36.154,575.516,28887.5,19.923
China,CHN,Upper Middle,East Asia & Pacific,76.894,30074.38,21290.89,1412.55
Côte d’Ivoire,CIV,Lower Middle,Sub-Saharan Africa,56.028,181.533,6397,28.378
Cameroon,CMR,Lower Middle,Sub-Saharan Africa,46.754,123.341,4418.99,27.912
Congo - Kinshasa,COD,Low,Sub-Saharan Africa,14.657,128.535,1327.83,96.801
Congo - Brazzaville,COG,Lower Middle,Sub-Saharan Africa,82.021,23.031,4682.25,4.919
Colombia,COL,Upper Middle,Latin America & Caribbean,61.113,964.743,18693.14,51.609
Comoros,COM,Lower Middle,Sub-Saharan Africa,34.514,3.214,3364.33,0.955
Cape Verde,CPV,Lower Middle,Sub-Saharan Africa,154.475,4.823,8459.81,0.57
Costa Rica,CRI,Upper Middle,Latin America & Caribbean,67.562,129.95,24836.58,5.232
Cuba,CUB,Upper Middle,Latin America & Caribbean,NA,NA,NA,NA
Curaçao,CUW,High,Latin America & Caribbean,NA,NA,NA,NA
Cayman Islands,CYM,High,Latin America & Caribbean,NA,NA,NA,NA
Cyprus,CYP,High,Europe & Central Asia,93.628,44.762,49504.44,0.904
Czechia,CZE,High,Europe & Central Asia,41.468,514.732,48918.58,10.522
Germany,DEU,High,Europe & Central Asia,71.112,5316.93,63834.86,83.292
Djibouti,DJI,Lower Middle,Middle East & North Africa,50.055,6.619,6513.86,1.016
Dominica,DMA,Upper Middle,Latin America & Caribbean,102.795,0.966,13030.07,0.074
Denmark,DNK,High,Europe & Central Asia,31.751,411.039,69845.09,5.885
Dominican Republic,DOM,Upper Middle,Latin America & Caribbean,58.353,256.446,24119.55,10.632
Algeria,DZA,Lower Middle,Middle East & North Africa,62.747,600.668,13323.93,45.082
Ecuador,ECU,Upper Middle,Latin America & Caribbean,58.908,229.815,12763.08,18.006
Egypt,EGY,Lower Middle,Middle East & North Africa,89.153,1661.96,15958.55,104.142
Eritrea,ERI,Low,Sub-Saharan Africa,164.746,7.611,2078.44,3.662
Spain,ESP,High,Europe & Central Asia,113.571,2215.99,46551.16,47.603
Estonia,EST,High,Europe & Central Asia,18.316,61.389,46125.98,1.331
Ethiopia,ETH,Low,Sub-Saharan Africa,46.371,347.847,3433.96,101.296
Finland,FIN,High,Europe & Central Asia,66.674,324.829,58659,5.538
Fiji,FJI,Upper Middle,East Asia & Pacific,91.252,12.685,13943.67,0.91
France,FRA,High,Europe & Central Asia,111.827,3688.32,56199.9,65.629
Faroe Islands,FRO,High,Europe & Central Asia,NA,NA,NA,NA
Micronesia (Federated States of),FSM,Lower Middle,East Asia & Pacific,14.21,0.386,3675.09,0.105
Gabon,GAB,Upper Middle,Sub-Saharan Africa,53.951,39.093,18088.44,2.161
United Kingdom,GBR,High,Europe & Central Asia,86.99,3776.04,55862.09,67.596
Georgia,GEO,Upper Middle,Europe & Central Asia,39.832,73.579,19788.5,3.718
Ghana,GHA,Lower Middle,Sub-Saharan Africa,90.739,217.525,6780.28,32.082
Gibraltar,GIB,High,Europe & Central Asia,NA,NA,NA,NA
Guinea,GIN,Low,Sub-Saharan Africa,39.033,43.922,2993.08,14.674
Gambia,GMB,Low,Sub-Saharan Africa,80.561,6.776,2639.8,2.567
Guinea-Bissau,GNB,Low,Sub-Saharan Africa,82.039,5.406,2850.7,1.896
Equatorial Guinea,GNQ,Upper Middle,Sub-Saharan Africa,27.06,29.117,19433.23,1.498
Greece,GRC,High,Europe & Central Asia,177.591,387.801,36465.54,10.635
Grenada,GRD,Upper Middle,Latin America & Caribbean,68.908,2.098,18436.3,0.114
Greenland,GRL,High,Europe & Central Asia,NA,NA,NA,NA
Guatemala,GTM,Upper Middle,Latin America & Caribbean,30.086,185.849,9931.43,18.713
Guam,GUM,High,East Asia & Pacific,NA,NA,NA,NA
Guyana,GUY,Upper Middle,Latin America & Caribbean,22.843,33.761,42646.64,0.792
Hong Kong SAR China,HKG,High,East Asia & Pacific,3.326,518.743,69987.04,7.412
Honduras,HND,Lower Middle,Latin America & Caribbean,50.229,69.684,6769.15,10.294
Croatia,HRV,High,Europe & Central Asia,72.575,150.433,37549.8,4.006
Haiti,HTI,Lower Middle,Latin America & Caribbean,23.059,38.198,3165.9,12.065
Hungary,HUN,High,Europe & Central Asia,74.83,409.834,42132.31,9.727
Indonesia,IDN,Lower Middle,East Asia & Pacific,40.894,4023.5,14638.41,274.859
Isle of Man,IMN,High,Europe & Central Asia,NA,NA,NA,NA
India,IND,Lower Middle,South Asia,83.398,11665.49,8293.2,1406.63
Ireland,IRL,High,Europe & Central Asia,47.04,666.309,131034.14,5.085
Iran,IRN,Lower Middle,Middle East & North Africa,34.172,1599.25,18663.23,85.69
Iraq,IRQ,Upper Middle,Middle East & North Africa,36.723,524.21,12408.39,42.246
