country_name,iso3c,value_pct,index,em_dm
Australia,AUS,0.04692378933176545,Developed Markets,Developed Markets
Austria,AUT,0.045722916150316706,Developed Markets,Developed Markets
Belgium,BEL,0.04605351394129809,Developed Markets,Developed Markets
Canada,CAN,0.04801425928136193,Developed Markets,Developed Markets
Denmark,DNK,0.04709964899320558,Developed Markets,Developed Markets
Finland,FIN,0.046204357885845405,Developed Markets,Developed Markets
France,FRA,0.0816380915381149,Developed Markets,Developed Markets
Germany,DEU,0.05960425030003911,Developed Markets,Developed Markets
Ireland,IRL,0.04629115315826789,Developed Markets,Developed Markets
Israel,ISR,0.04681709434815131,Developed Markets,Developed Markets
Italy,ITA,0.07261947068129018,Developed Markets,Developed Markets
Japan,JPN,0.16523678579302398,Developed Markets,Developed Markets
South Korea,KOR,3.6656523206992266e-8,Developed Markets,Developed Markets
Netherlands,NLD,0.04618793286723752,Developed Markets,Developed Markets
Norway,NOR,0.033147854841704565,Developed Markets,Developed Markets
Singapore,SGP,0.04718279452085517,Developed Markets,Developed Markets
Spain,ESP,0.04767205295736854,Developed Markets,Developed Markets
Sweden,SWE,0.03835149158402827,Developed Markets,Developed Markets
Switzerland,CHE,3.9051733054751045e-6,Developed Markets,Developed Markets
United Kingdom,GBR,0.049049475842015966,Developed Markets,Developed Markets
United States,USA,-0.013820875845719192,Developed Markets,Developed Markets
Brazil,BRA,0.04622566524194388,EM - Local Currency,Emerging Markets
Chile,CHL,0.046375793904375795,EM - Local Currency,Emerging Markets
China,CHN,0.12265285702479907,EM - Local Currency,Emerging Markets
Colombia,COL,0.04474840169140205,EM - Local Currency,Emerging Markets
Czechia,CZE,0.04461984704914825,EM - Local Currency,Emerging Markets
Dominican Republic,DOM,0.04306503108614069,EM - Local Currency,Emerging Markets
Egypt,EGY,0.022655114983746654,EM - Local Currency,Emerging Markets
Hungary,HUN,0.044543327560308446,EM - Local Currency,Emerging Markets
Indonesia,IDN,0.04496158559625074,EM - Local Currency,Emerging Markets
Malaysia,MYS,0.04469712737395388,EM - Local Currency,Emerging Markets
Mexico,MEX,0.04485736328102458,EM - Local Currency,Emerging Markets
Peru,PER,0.04579594733048281,EM - Local Currency,Emerging Markets
Philippines,PHL,0.044939794253781196,EM - Local Currency,Emerging Markets
Poland,POL,0.04380269358811234,EM - Local Currency,Emerging Markets
Romania,ROU,0.04432634408824714,EM - Local Currency,Emerging Markets
Russia,RUS,0.044331371594461315,EM - Local Currency,Emerging Markets
Serbia,SRB,0.04513643321371172,EM - Local Currency,Emerging Markets
South Africa,ZAF,0.04525661217621258,EM - Local Currency,Emerging Markets
Thailand,THA,0.04483197689551352,EM - Local Currency,Emerging Markets
Turkey,TUR,0.04623231092585672,EM - Local Currency,Emerging Markets
Uruguay,URY,0.04594440114052664,EM - Local Currency,Emerging Markets
Angola,AGO,0.011949963252144515,EM - Hard Currency,Emerging Markets
Argentina,ARG,0.013971562808294737,EM - Hard Currency,Emerging Markets
Azerbaijan,AZE,0.008182923406154983,EM - Hard Currency,Emerging Markets
Bahrain,BHR,0.02816901413717825,EM - Hard Currency,Emerging Markets
Bolivia,BOL,0.0012563351541626275,EM - Hard Currency,Emerging Markets
Brazil,BRA,0.03308643814623864,EM - Hard Currency,Emerging Markets
Chile,CHL,0.031127269511703574,EM - Hard Currency,Emerging Markets
China,CHN,0.03793337841811007,EM - Hard Currency,Emerging Markets
Colombia,COL,0.029648547691925684,EM - Hard Currency,Emerging Markets
Costa Rica,CRI,0.0049073518217772165,EM - Hard Currency,Emerging Markets
Côte d’Ivoire,CIV,0.0018923838167576288,EM - Hard Currency,Emerging Markets
Croatia,HRV,0.004750217420044066,EM - Hard Currency,Emerging Markets
Dominican Republic,DOM,0.029592492699451203,EM - Hard Currency,Emerging Markets
Ecuador,ECU,0.017329653023981515,EM - Hard Currency,Emerging Markets
Egypt,EGY,0.02658741248969794,EM - Hard Currency,Emerging Markets
El Salvador,SLV,0.002494843866587332,EM - Hard Currency,Emerging Markets
Ethiopia,ETH,0.0011016165254478317,EM - Hard Currency,Emerging Markets
Gabon,GAB,0.0014568841086990785,EM - Hard Currency,Emerging Markets
Ghana,GHA,0.012635838282508418,EM - Hard Currency,Emerging Markets
Guatemala,GTM,0.0022629356209979902,EM - Hard Currency,Emerging Markets
Hungary,HUN,0.014626377986084403,EM - Hard Currency,Emerging Markets
India,IND,0.005800226460088806,EM - Hard Currency,Emerging Markets
Indonesia,IDN,0.04943467807591155,EM - Hard Currency,Emerging Markets
