iso3c,year,gdp_usd_current_prices,gdp_ppp_current_prices,gdp_pc_usd_current_prices,gdp_pc_ppp_current_prices,population,govt_expenditure_pct_gdp,debt_pct_gdp,territorial_co2,trade_co2,consumption_co2,cumulative_co2,debt_usd,govt_expenditure_usd,territorial_co2_per_capita,trade_co2_per_capita,consumption_co2_per_capita,territorial_co2_per_gdp,trade_co2_per_gdp,consumption_co2_per_gdp,territorial_co2_per_debt,trade_co2_per_debt,consumption_co2_per_debt,debt_usd_per_capita,territorial_co2_per_govt_expenditure,trade_co2_per_govt_expenditure,consumption_co2_govt_expenditure,govt_expenditure_per_capita,trade_pct_of_consumption_co2,cumulative_co2_per_capita
AFG,1990,NA,NA,NA,NA,NA,NA,NA,2.603,NA,NA,59.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFG,1991,NA,NA,NA,NA,NA,NA,NA,2.427,NA,NA,61.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFG,1992,NA,NA,NA,NA,NA,NA,NA,1.379,NA,NA,62.989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFG,1993,NA,NA,NA,NA,NA,NA,NA,1.333,NA,NA,64.322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFG,1994,NA,NA,NA,NA,NA,NA,NA,1.282,NA,NA,65.604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFG,1995,NA,NA,NA,NA,NA,NA,NA,1.23,NA,NA,66.834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFG,1996,NA,NA,NA,NA,NA,NA,NA,1.165,NA,NA,67.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFG,1997,NA,NA,NA,NA,NA,NA,NA,1.084,NA,NA,69.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFG,1998,NA,NA,NA,NA,NA,NA,NA,1.029,NA,NA,70.113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFG,1999,NA,NA,NA,NA,NA,NA,NA,0.81,NA,NA,70.922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
