ticker,company_name,sector,esg_etf,standard_etf,in_esg_only,in_standard_only,in_on_index_only,esg_tilt,esg_uw_ow,esg_tilt_z_score,esg_tilt_rank,esg_tilt_percentile,esg_tilt_quantile_5
PRU,PRUDENTIAL FINANCIAL INC,Financials,0.536680252,0.105743131,FALSE,FALSE,FALSE,0.430937121,Overweight,-3.396230934,1,0,1
GIS,GENERAL MILLS INC,Consumer Staples,0.552218037,0.151343703,FALSE,FALSE,FALSE,0.400874334,Overweight,-3.15930503,2,0.001865672,1
K,KELLOGG,Consumer Staples,0.453427942,0.059207325,FALSE,FALSE,FALSE,0.394220617,Overweight,-3.106866847,3,0.003731343,1
ADP,AUTOMATIC DATA PROCESSING INC,Information Technology,0.648683622,0.31168123,FALSE,FALSE,FALSE,0.337002393,Overweight,-2.655927966,4,0.005597015,1
ECL,ECOLAB INC,Materials,0.440702504,0.118450765,FALSE,FALSE,FALSE,0.322251739,Overweight,-2.539677539,5,0.007462687,1
JCI,JOHNSON CONTROLS INTERNATIONAL PLC,Industrials,0.416066757,0.112429619,FALSE,FALSE,FALSE,0.303637137,Overweight,-2.39297519,6,0.009328358,1
ES,EVERSOURCE ENERGY,Utilities,0.392109202,0.089644847,FALSE,FALSE,FALSE,0.302464354,Overweight,-2.383732447,7,0.01119403,1
PEG,PUBLIC SERVICE ENTERPRISE GROUP IN,Utilities,0.37639656,0.092859075,FALSE,FALSE,FALSE,0.283537485,Overweight,-2.234569112,8,0.013059701,1
RTX,RAYTHEON TECHNOLOGIES CORP,Industrials,0.677414787,0.400825693,FALSE,FALSE,FALSE,0.276589093,Overweight,-2.179808585,9,0.014925373,1
LNG,CHENIERE ENERGY INC,Energy,0.273656704,0,TRUE,FALSE,TRUE,0.273656704,Overweight,-2.156698322,10,0.016791045,1
RF,REGIONS FINANCIAL CORP,Financials,0.334493726,0.062194516,FALSE,FALSE,FALSE,0.272299209,Overweight,-2.145999853,11,0.018656716,1
ZTS,ZOETIS INC,Health Care,0.499157257,0.23010427,FALSE,FALSE,FALSE,0.269052987,Overweight,-2.120416258,12,0.020522388,1
PEP,PEPSICO INC,Consumer Staples,1.014083766,0.74719321,FALSE,FALSE,FALSE,0.266890556,Overweight,-2.103374062,13,0.02238806,1
TT,TRANE TECHNOLOGIES PLC,Industrials,0.372537466,0.111276521,FALSE,FALSE,FALSE,0.261260945,Overweight,-2.059006896,14,0.024253731,1
TXN,TEXAS INSTRUMENT INC,Information Technology,0.727635917,0.468997368,FALSE,FALSE,FALSE,0.258638549,Overweight,-2.038339698,15,0.026119403,1
EXPD,EXPEDITORS INTERNATIONAL OF WASHIN,Industrials,0.305607651,0.047700243,FALSE,FALSE,FALSE,0.257907408,Overweight,-2.032577554,16,0.027985075,1
HII,HUNTINGTON INGALLS INDUSTRIES INC,Industrials,0.281687144,0.029806353,FALSE,FALSE,FALSE,0.251880791,Overweight,-1.985081567,17,0.029850746,1
GWW,WW GRAINGER INC,Industrials,0.32353969,0.073798306,FALSE,FALSE,FALSE,0.249741384,Overweight,-1.968220823,18,0.031716418,1
WELL,WELLTOWER,Real Estate,0.346634514,0.099308263,FALSE,FALSE,FALSE,0.247326251,Overweight,-1.949187074,19,0.03358209,1
HAS,HASBRO INC,Consumer Discretionary,0.268390521,0.028947994,FALSE,FALSE,FALSE,0.239442527,Overweight,-1.887055164,20,0.035447761,1
ED,CONSOLIDATED EDISON INC,Utilities,0.328082831,0.100797526,FALSE,FALSE,FALSE,0.227285305,Overweight,-1.791243656,21,0.037313433,1
HES,HESS CORP,Energy,0.326589078,0.101194799,FALSE,FALSE,FALSE,0.225394279,Overweight,-1.776340409,22,0.039179104,1
A,AGILENT TECHNOLOGIES INC,Health Care,0.345767727,0.120403955,FALSE,FALSE,FALSE,0.225363772,Overweight,-1.776099984,23,0.041044776,1
LHX,L3HARRIS TECHNOLOGIES INC,Industrials,0.345942386,0.13162261,FALSE,FALSE,FALSE,0.214319776,Overweight,-1.689061858,24,0.042910448,1
XYL,XYLEM INC,Industrials,0.265740314,0.052077853,FALSE,FALSE,FALSE,0.213662461,Overweight,-1.683881533,25,0.044776119,1
GILD,GILEAD SCIENCES INC,Health Care,0.468500471,0.256413839,FALSE,FALSE,FALSE,0.212086632,Overweight,-1.671462367,26,0.046641791,1
BLK,BLACKROCK INC,Financials,0.48459904,0.275138819,FALSE,FALSE,FALSE,0.209460221,Overweight,-1.650763531,27,0.048507463,1
HPE,HEWLETT PACKARD ENTERPRISE,Information Technology,0.251406355,0.051609298,FALSE,FALSE,FALSE,0.199797057,Overweight,-1.574607786,28,0.050373134,1
MMM,3M,Industrials,0.40228911,0.202922363,FALSE,FALSE,FALSE,0.199366748,Overweight,-1.571216504,29,0.052238806,1
BG,BUNGE LTD,Consumer Staples,0.198611155,0,TRUE,FALSE,TRUE,0.198611155,Overweight,-1.565261649,30,0.054104478,1
