country_name,country_group,group_type
Australia,Advanced Economies,IMF
Austria,Advanced Economies,IMF
Belgium,Advanced Economies,IMF
Canada,Advanced Economies,IMF
Switzerland,Advanced Economies,IMF
Cyprus,Advanced Economies,IMF
Czechia,Advanced Economies,IMF
Germany,Advanced Economies,IMF
Denmark,Advanced Economies,IMF
Spain,Advanced Economies,IMF
Estonia,Advanced Economies,IMF
Finland,Advanced Economies,IMF
France,Advanced Economies,IMF
United Kingdom,Advanced Economies,IMF
Greece,Advanced Economies,IMF
Hong Kong SAR China,Advanced Economies,IMF
Ireland,Advanced Economies,IMF
Iceland,Advanced Economies,IMF
Israel,Advanced Economies,IMF
Italy,Advanced Economies,IMF
Japan,Advanced Economies,IMF
South Korea,Advanced Economies,IMF
Lithuania,Advanced Economies,IMF
Luxembourg,Advanced Economies,IMF
Latvia,Advanced Economies,IMF
Macao SAR China,Advanced Economies,IMF
Malta,Advanced Economies,IMF
Netherlands,Advanced Economies,IMF
Norway,Advanced Economies,IMF
New Zealand,Advanced Economies,IMF
Puerto Rico,Advanced Economies,IMF
Portugal,Advanced Economies,IMF
Singapore,Advanced Economies,IMF
San Marino,Advanced Economies,IMF
Slovakia,Advanced Economies,IMF
Slovenia,Advanced Economies,IMF
Sweden,Advanced Economies,IMF
Taiwan,Advanced Economies,IMF
United States,Advanced Economies,IMF
Australia,Advanced G20,IMF
Canada,Advanced G20,IMF
Germany,Advanced G20,IMF
France,Advanced G20,IMF
United Kingdom,Advanced G20,IMF
Italy,Advanced G20,IMF
Japan,Advanced G20,IMF
South Korea,Advanced G20,IMF
United States,Advanced G20,IMF
Argentina,Emerging G20,IMF
Brazil,Emerging G20,IMF
China,Emerging G20,IMF
Indonesia,Emerging G20,IMF
India,Emerging G20,IMF
Mexico,Emerging G20,IMF
Russia,Emerging G20,IMF
Saudi Arabia,Emerging G20,IMF
Turkey,Emerging G20,IMF
South Africa,Emerging G20,IMF
Angola,Emerging Market and Middle-Income Africa,IMF
South Africa,Emerging Market and Middle-Income Africa,IMF
Brunei,Emerging Market and Middle-Income Asia,IMF
China,Emerging Market and Middle-Income Asia,IMF
Fiji,Emerging Market and Middle-Income Asia,IMF
Micronesia (Federated States of),Emerging Market and Middle-Income Asia,IMF
Indonesia,Emerging Market and Middle-Income Asia,IMF
India,Emerging Market and Middle-Income Asia,IMF
Sri Lanka,Emerging Market and Middle-Income Asia,IMF
Maldives,Emerging Market and Middle-Income Asia,IMF
Marshall Islands,Emerging Market and Middle-Income Asia,IMF
Mongolia,Emerging Market and Middle-Income Asia,IMF
Malaysia,Emerging Market and Middle-Income Asia,IMF
Nauru,Emerging Market and Middle-Income Asia,IMF
Philippines,Emerging Market and Middle-Income Asia,IMF
Palau,Emerging Market and Middle-Income Asia,IMF
Thailand,Emerging Market and Middle-Income Asia,IMF
Tonga,Emerging Market and Middle-Income Asia,IMF
Tuvalu,Emerging Market and Middle-Income Asia,IMF
Vanuatu,Emerging Market and Middle-Income Asia,IMF
Samoa,Emerging Market and Middle-Income Asia,IMF
Albania,Emerging Market and Middle-Income Europe,IMF
Azerbaijan,Emerging Market and Middle-Income Europe,IMF
Bulgaria,Emerging Market and Middle-Income Europe,IMF
Bosnia & Herzegovina,Emerging Market and Middle-Income Europe,IMF
Belarus,Emerging Market and Middle-Income Europe,IMF
Croatia,Emerging Market and Middle-Income Europe,IMF
Hungary,Emerging Market and Middle-Income Europe,IMF
Kazakhstan,Emerging Market and Middle-Income Europe,IMF
